Order_ID,Date,Month,Quarter,Year,Region,State,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Sales_Amount,Discount_Percent,Discount_Amount,Net_Sales,Cost_Price,Profit,Profit_Margin_Percent,Customer_Segment,Payment_Mode,Order_Status
ORD-1013,28-Sep-2024,Sep,Q3,2024,North,UP,Books,Biography,Wings of Fire (APJ Abdul Kalam),1,299,299,10,29.9,269.1,181.03,88.07,32.73,Premium,UPI,Delivered
ORD-1014,17-Oct-2024,Oct,Q4,2024,North,Delhi,Home & Kitchen,Mixer,Sujata Super 900W,2,5499,10998,0,0.0,10998.0,7254.12,3743.88,34.04,New,UPI,Delivered
ORD-1015,06-Nov-2024,Nov,Q4,2024,West,Maharashtra,Sports,Football,Adidas Tango,4,1499,5996,10,599.6,5396.4,3487.62,1908.78,35.37,Regular,UPI,Delivered
ORD-1016,22-Jun-2024,Jun,Q2,2024,North,UP,Sports,Football,Puma Spin Ball,2,999,1998,0,0.0,1998.0,1247.27,750.73,37.57,Premium,UPI,Returned
ORD-1017,18-Jun-2024,Jun,Q2,2024,North,UP,Clothing,Saree,Georgette Partywear Saree,2,2499,4998,20,999.6,3998.4,2510.75,1487.65,37.21,New,Credit Card,Delivered
ORD-1018,30-Aug-2024,Aug,Q3,2024,West,Maharashtra,Electronics,Mobile,Redmi Note 13,3,17999,53997,10,5399.7,48597.3,31329.03,17268.27,35.53,New,UPI,Delivered
ORD-1019,26-Nov-2024,Nov,Q4,2024,North,Delhi,Home & Kitchen,Bedsheet,Bombay Dyeing Cotton Bedsheet,2,1499,2998,5,149.9,2848.1,1798.33,1049.77,36.86,Regular,UPI,Delivered
ORD-1020,07-May-2024,May,Q2,2024,North,Punjab,Sports,Cricket Bat,MRF Genius Grand Edition,5,4999,24995,0,0.0,24995.0,16950.1,8044.9,32.19,New,Net Banking,Delivered
ORD-1021,05-Sep-2024,Sep,Q3,2024,West,Maharashtra,Home & Kitchen,Mixer,Lifelong Duos 500W,4,1799,7196,0,0.0,7196.0,4886.94,2309.06,32.09,Regular,Debit Card,Delivered
ORD-1022,04-Aug-2024,Aug,Q3,2024,West,Maharashtra,Clothing,Saree,Banarasi Silk Saree,1,6499,6499,20,1299.8,5199.2,3242.52,1956.68,37.63,Regular,UPI,Delivered
ORD-1023,28-Sep-2024,Sep,Q3,2024,South,Tamil Nadu,Sports,Cricket Bat,SG Savage Edition,1,3499,3499,0,0.0,3499.0,2311.13,1187.87,33.95,Regular,UPI,Returned
ORD-1024,06-May-2024,May,Q2,2024,North,UP,Electronics,Earphones,Realme Buds Wireless 3,5,1799,8995,20,1799.0,7196.0,4598.12,2597.88,36.1,Regular,Credit Card,Delivered
ORD-1025,15-May-2024,May,Q2,2024,West,Maharashtra,Books,Biography,The Story of My Experiments with Truth,1,199,199,0,0.0,199.0,128.85,70.15,35.25,New,COD,Delivered
ORD-1026,19-Apr-2024,Apr,Q2,2024,East,West Bengal,Books,Novel,To Kill a Mockingbird,3,399,1197,5,59.85,1137.15,715.8,421.35,37.05,Premium,Debit Card,Delivered
ORD-1027,30-Nov-2024,Nov,Q4,2024,North,UP,Sports,Yoga Mat,Kore Exercise Yoga Mat,2,399,798,5,39.9,758.1,475.27,282.83,37.31,Regular,Credit Card,Delivered
ORD-1028,05-Nov-2024,Nov,Q4,2024,South,Telangana,Books,Textbook,NCERT Science Class 10,5,199,995,15,149.25,845.75,537.11,308.64,36.49,New,UPI,Delivered
ORD-1029,21-May-2024,May,Q2,2024,North,Delhi,Books,Textbook,NCERT Science Class 10,2,199,398,15,59.7,338.3,220.94,117.36,34.69,Regular,UPI,Delivered
ORD-1030,19-Dec-2024,Dec,Q4,2024,South,Telangana,Electronics,Tablet,Realme Pad 2,5,19999,99995,0,0.0,99995.0,64575.49,35419.51,35.42,Regular,UPI,Pending
ORD-1031,21-Jan-2024,Jan,Q1,2024,East,West Bengal,Clothing,T-Shirt,Nike Dry-Fit T-Shirt,5,1899,9495,10,949.5,8545.5,5797.53,2747.97,32.16,Premium,COD,Delivered
ORD-1032,24-Mar-2024,Mar,Q1,2024,South,Kerala,Electronics,Laptop,Lenovo IdeaPad 3,4,38999,155996,5,7799.8,148196.2,94254.02,53942.18,36.4,Premium,UPI,Returned
ORD-1033,28-Aug-2024,Aug,Q3,2024,South,Tamil Nadu,Home & Kitchen,Bedsheet,Spaces Floral Bedsheet,2,2499,4998,5,249.9,4748.1,2950.56,1797.54,37.86,Regular,UPI,Returned
ORD-1034,22-May-2024,May,Q2,2024,East,Bihar,Sports,Dumbbells,Lifelong Chrome Dumbbells,3,1899,5697,0,0.0,5697.0,3571.57,2125.43,37.31,New,UPI,Pending
ORD-1035,15-May-2024,May,Q2,2024,North,Delhi,Sports,Dumbbells,Cockatoo Rubber Dumbbells 5kg,3,1299,3897,10,389.7,3507.3,2302.1,1205.2,34.36,Regular,UPI,Delivered
ORD-1036,10-May-2024,May,Q2,2024,North,UP,Home & Kitchen,Mixer,Sujata Super 900W,5,5499,27495,5,1374.75,26120.25,16765.37,9354.88,35.81,Regular,Credit Card,Delivered
ORD-1037,09-Jun-2024,Jun,Q2,2024,North,UP,Books,Comic,Amar Chitra Katha,4,120,480,10,48.0,432.0,278.27,153.73,35.59,Regular,UPI,Delivered
ORD-1038,13-Jul-2024,Jul,Q3,2024,South,Telangana,Sports,Yoga Mat,OJS Premium Yoga Mat,5,599,2995,0,0.0,2995.0,1911.51,1083.49,36.18,Regular,Debit Card,Delivered
ORD-1039,13-Jun-2024,Jun,Q2,2024,West,Gujarat,Home & Kitchen,Cooker,Hawkins Contura 3L,4,1699,6796,0,0.0,6796.0,4482.17,2313.83,34.05,Regular,Credit Card,Delivered
ORD-1040,17-Feb-2024,Feb,Q1,2024,South,Telangana,Books,Textbook,RD Sharma Mathematics,2,899,1798,0,0.0,1798.0,1119.75,678.25,37.72,New,Credit Card,Delivered
ORD-1041,21-Aug-2024,Aug,Q3,2024,West,Rajasthan,Sports,Football,Cosco Milano,4,799,3196,10,319.6,2876.4,1825.48,1050.92,36.54,Premium,UPI,Delivered
ORD-1042,24-Feb-2024,Feb,Q1,2024,West,Maharashtra,Clothing,Jacket,Fort Collins Bomber,1,2299,2299,20,459.8,1839.2,1167.8,671.4,36.51,Premium,Credit Card,Delivered
ORD-1043,07-Dec-2024,Dec,Q4,2024,East,Odisha,Sports,Cycle,Leader Scout 26T,5,6499,32495,15,4874.25,27620.75,18611.76,9008.99,32.62,Premium,Credit Card,Delivered
ORD-1044,06-May-2024,May,Q2,2024,East,Bihar,Home & Kitchen,Cooker,Pigeon Favourite 3L,4,1099,4396,0,0.0,4396.0,2913.72,1482.28,33.72,Regular,UPI,Returned
ORD-1045,11-Feb-2024,Feb,Q1,2024,South,Tamil Nadu,Clothing,Kurta,W Women Kurta,2,1499,2998,0,0.0,2998.0,1933.39,1064.61,35.51,Regular,Credit Card,Delivered
ORD-1046,03-Aug-2024,Aug,Q3,2024,West,Rajasthan,Electronics,Smart Watch,Samsung Galaxy Watch 6,4,29999,119996,0,0.0,119996.0,81185.03,38810.97,32.34,Regular,UPI,Returned
ORD-1047,02-Aug-2024,Aug,Q3,2024,South,Kerala,Clothing,Saree,Georgette Partywear Saree,4,2499,9996,0,0.0,9996.0,6430.74,3565.26,35.67,Premium,Debit Card,Delivered
ORD-1048,27-Aug-2024,Aug,Q3,2024,South,Telangana,Sports,Cricket Bat,Spartan MSD Warrior,5,2499,12495,0,0.0,12495.0,7809.84,4685.16,37.5,Regular,Net Banking,Delivered
ORD-1049,13-May-2024,May,Q2,2024,West,Gujarat,Clothing,Kurta,Biba Printed Kurta,3,2199,6597,10,659.7,5937.3,3780.25,2157.05,36.33,New,UPI,Delivered
ORD-1050,28-Aug-2024,Aug,Q3,2024,North,UP,Sports,Cricket Bat,SS Ton Reserve,2,5999,11998,0,0.0,11998.0,8001.15,3996.85,33.31,Premium,Debit Card,Pending
ORD-1051,12-Apr-2024,Apr,Q2,2024,North,UP,Clothing,Jeans,Pepe Jeans Regular Fit,4,2499,9996,0,0.0,9996.0,6535.77,3460.23,34.62,Regular,Credit Card,Delivered
ORD-1052,26-Mar-2024,Mar,Q1,2024,North,Delhi,Books,Novel,Midnight Library,1,329,329,5,16.45,312.55,204.58,107.97,34.54,New,UPI,Pending
ORD-1053,11-Apr-2024,Apr,Q2,2024,North,UP,Clothing,T-Shirt,Nike Dry-Fit T-Shirt,5,1899,9495,0,0.0,9495.0,6340.51,3154.49,33.22,Regular,UPI,Delivered
ORD-1054,04-Dec-2024,Dec,Q4,2024,East,West Bengal,Sports,Yoga Mat,Kore Exercise Yoga Mat,4,399,1596,15,239.4,1356.6,849.68,506.92,37.37,New,Credit Card,Delivered
ORD-1055,28-Dec-2024,Dec,Q4,2024,South,Kerala,Clothing,Jacket,Levis Denim Jacket,5,4599,22995,20,4599.0,18396.0,12260.54,6135.46,33.35,Regular,Net Banking,Delivered
ORD-1056,14-Jun-2024,Jun,Q2,2024,South,Tamil Nadu,Books,Biography,Steve Jobs by Walter Isaacson,4,699,2796,10,279.6,2516.4,1610.96,905.44,35.98,Regular,UPI,Delivered
ORD-1057,30-Jun-2024,Jun,Q2,2024,East,Odisha,Books,Comic,Amar Chitra Katha,5,120,600,0,0.0,600.0,390.6,209.4,34.9,Regular,UPI,Delivered
ORD-1058,11-Oct-2024,Oct,Q4,2024,South,Telangana,Home & Kitchen,Lamp,IKEA FADO Table Lamp,1,1499,1499,0,0.0,1499.0,955.84,543.16,36.23,Regular,UPI,Delivered
ORD-1059,07-Jul-2024,Jul,Q3,2024,West,Rajasthan,Sports,Yoga Mat,OJS Premium Yoga Mat,5,599,2995,10,299.5,2695.5,1728.11,967.39,35.89,Regular,UPI,Delivered
ORD-1060,08-Apr-2024,Apr,Q2,2024,East,West Bengal,Sports,Football,Nivia Shinning Star,2,899,1798,15,269.7,1528.3,972.9,555.4,36.34,Regular,Debit Card,Delivered
ORD-1061,21-Feb-2024,Feb,Q1,2024,South,Kerala,Clothing,Saree,Banarasi Silk Saree,3,6499,19497,0,0.0,19497.0,12916.39,6580.61,33.75,Regular,UPI,Delivered
ORD-1062,29-May-2024,May,Q2,2024,South,Telangana,Home & Kitchen,Mixer,Prestige Iris 750W,5,3999,19995,5,999.75,18995.25,12312.03,6683.22,35.18,Regular,UPI,Delivered
ORD-1063,01-Sep-2024,Sep,Q3,2024,North,Delhi,Home & Kitchen,Lamp,Philips Deco LED Lamp,5,599,2995,0,0.0,2995.0,1884.17,1110.83,37.09,Premium,COD,Delivered
ORD-1064,07-May-2024,May,Q2,2024,North,UP,Home & Kitchen,Pillow,Wakefit Hollow Fiber Pillow,5,599,2995,5,149.75,2845.25,1896.48,948.77,33.35,Regular,COD,Delivered
ORD-1065,28-Oct-2024,Oct,Q4,2024,West,Gujarat,Sports,Cycle,Hero Sprint Cycle,5,7999,39995,0,0.0,39995.0,27070.83,12924.17,32.31,Regular,UPI,Delivered
ORD-1066,21-Mar-2024,Mar,Q1,2024,South,Tamil Nadu,Sports,Cricket Bat,SG Savage Edition,1,3499,3499,10,349.9,3149.1,2037.56,1111.54,35.3,Regular,UPI,Delivered
ORD-1067,27-Dec-2024,Dec,Q4,2024,East,Bihar,Home & Kitchen,Mixer,Lifelong Duos 500W,3,1799,5397,5,269.85,5127.15,3309.62,1817.53,35.45,Regular,Credit Card,Returned
ORD-1068,13-Mar-2024,Mar,Q1,2024,North,Delhi,Clothing,Saree,Bandhani Print Saree,5,1599,7995,5,399.75,7595.25,4909.18,2686.07,35.37,Regular,UPI,Delivered
ORD-1069,19-May-2024,May,Q2,2024,West,Gujarat,Electronics,Smart Watch,Noise ColorFit Pro 5,4,3999,15996,10,1599.6,14396.4,9447.25,4949.15,34.38,Regular,UPI,Delivered
ORD-1070,21-Oct-2024,Oct,Q4,2024,North,UP,Books,Comic,Tinkle Double Digest,2,150,300,15,45.0,255.0,166.04,88.96,34.89,Regular,UPI,Pending
ORD-1071,11-Aug-2024,Aug,Q3,2024,West,Maharashtra,Home & Kitchen,Bedsheet,Story@Home Double Bedsheet,3,999,2997,10,299.7,2697.3,1780.78,916.52,33.98,New,UPI,Delivered
ORD-1072,27-May-2024,May,Q2,2024,West,Rajasthan,Electronics,Earphones,boAt Rockerz 255,3,1299,3897,5,194.85,3702.15,2367.14,1335.01,36.06,New,UPI,Delivered
ORD-1073,01-Jan-2024,Jan,Q1,2024,West,Gujarat,Electronics,Laptop,Acer Aspire 5,3,39999,119997,15,17999.55,101997.45,67065.82,34931.63,34.25,Premium,UPI,Delivered
ORD-1074,27-May-2024,May,Q2,2024,West,Rajasthan,Home & Kitchen,Mixer,Prestige Iris 750W,5,3999,19995,5,999.75,18995.25,12586.01,6409.24,33.74,Regular,UPI,Delivered
ORD-1075,25-Apr-2024,Apr,Q2,2024,North,Punjab,Electronics,Laptop,ASUS Vivobook 16,3,44999,134997,20,26999.4,107997.6,71529.48,36468.12,33.77,Regular,Credit Card,Delivered
ORD-1076,21-Aug-2024,Aug,Q3,2024,South,Kerala,Clothing,Jacket,Red Tape Puffer Jacket,2,3999,7998,0,0.0,7998.0,5091.33,2906.67,36.34,Premium,UPI,Pending
ORD-1077,16-Sep-2024,Sep,Q3,2024,East,West Bengal,Books,Self-Help,The 5 AM Club,5,320,1600,15,240.0,1360.0,913.81,446.19,32.81,Regular,Credit Card,Delivered
ORD-1078,05-Oct-2024,Oct,Q4,2024,West,Gujarat,Books,Textbook,RD Sharma Mathematics,5,899,4495,10,449.5,4045.5,2564.9,1480.6,36.6,Premium,UPI,Delivered
ORD-1079,27-Dec-2024,Dec,Q4,2024,West,Gujarat,Clothing,Kurta,Manyavar Men Kurta,2,2999,5998,20,1199.6,4798.4,3252.94,1545.46,32.21,Regular,UPI,Delivered
ORD-1080,21-Feb-2024,Feb,Q1,2024,West,Maharashtra,Clothing,Kurta,W Women Kurta,1,1499,1499,15,224.85,1274.15,849.72,424.43,33.31,Regular,Credit Card,Delivered
ORD-1081,11-Feb-2024,Feb,Q1,2024,East,Bihar,Sports,Dumbbells,Cockatoo Rubber Dumbbells 5kg,4,1299,5196,20,1039.2,4156.8,2586.17,1570.63,37.78,Regular,Credit Card,Returned
ORD-1082,26-Apr-2024,Apr,Q2,2024,North,Punjab,Electronics,Mobile,Redmi Note 13,2,17999,35998,5,1799.9,34198.1,23056.55,11141.55,32.58,Regular,Debit Card,Delivered
ORD-1083,10-Jul-2024,Jul,Q3,2024,West,Maharashtra,Clothing,Jacket,Fort Collins Bomber,5,2299,11495,0,0.0,11495.0,7244.14,4250.86,36.98,Regular,Net Banking,Delivered
ORD-1084,03-May-2024,May,Q2,2024,West,Rajasthan,Clothing,Jeans,Killer Regular Fit,3,1799,5397,15,809.55,4587.45,2914.5,1672.95,36.47,Regular,Debit Card,Returned
ORD-1085,12-Dec-2024,Dec,Q4,2024,South,Tamil Nadu,Home & Kitchen,Bedsheet,Divine Casa Bedsheet,3,799,2397,10,239.7,2157.3,1426.88,730.42,33.86,Regular,UPI,Pending
ORD-1086,04-Sep-2024,Sep,Q3,2024,North,Delhi,Home & Kitchen,Pillow,The Sleep Company Pillow,5,1999,9995,5,499.75,9495.25,6452.61,3042.64,32.04,Regular,COD,Delivered
ORD-1087,20-May-2024,May,Q2,2024,North,UP,Electronics,Smart Watch,Samsung Galaxy Watch 6,3,29999,89997,5,4499.85,85497.15,56122.37,29374.78,34.36,Regular,Credit Card,Delivered
ORD-1088,13-Dec-2024,Dec,Q4,2024,South,Telangana,Electronics,Mobile,OnePlus 12,4,64999,259996,0,0.0,259996.0,170238.73,89757.27,34.52,Premium,UPI,Delivered
ORD-1089,31-Jul-2024,Jul,Q3,2024,South,Tamil Nadu,Clothing,Jacket,Levis Denim Jacket,5,4599,22995,20,4599.0,18396.0,12413.79,5982.21,32.52,Premium,UPI,Delivered
ORD-1090,03-Sep-2024,Sep,Q3,2024,East,Bihar,Books,Novel,Silent Patient,1,399,399,0,0.0,399.0,265.43,133.57,33.48,Regular,Credit Card,Delivered
ORD-1091,22-Jul-2024,Jul,Q3,2024,East,West Bengal,Home & Kitchen,Mixer,Bajaj GX1 500W,5,2499,12495,0,0.0,12495.0,8087.85,4407.15,35.27,Premium,Credit Card,Delivered
ORD-1092,22-Nov-2024,Nov,Q4,2024,East,West Bengal,Clothing,Kurta,Manyavar Men Kurta,5,2999,14995,20,2999.0,11996.0,7673.61,4322.39,36.03,Premium,Credit Card,Delivered
ORD-1093,25-Aug-2024,Aug,Q3,2024,East,Bihar,Home & Kitchen,Mixer,Lifelong Duos 500W,1,1799,1799,0,0.0,1799.0,1148.23,650.77,36.17,Regular,UPI,Returned
ORD-1094,10-Mar-2024,Mar,Q1,2024,West,Gujarat,Books,Comic,Spider-Man Classic,5,299,1495,0,0.0,1495.0,1006.32,488.68,32.69,Premium,Net Banking,Delivered
ORD-1095,23-May-2024,May,Q2,2024,North,UP,Books,Textbook,Indian Polity by Laxmikanth,4,749,2996,5,149.8,2846.2,1910.73,935.47,32.87,Regular,Credit Card,Delivered
ORD-1096,26-Nov-2024,Nov,Q4,2024,East,West Bengal,Home & Kitchen,Bedsheet,Portico New York Bedsheet,1,1999,1999,15,299.85,1699.15,1062.82,636.33,37.45,Regular,Credit Card,Pending
ORD-1097,26-Jan-2024,Jan,Q1,2024,East,West Bengal,Clothing,Jacket,Decathlon Fleece Jacket,1,1499,1499,20,299.8,1199.2,758.41,440.79,36.76,Regular,Net Banking,Delivered
ORD-1098,16-Mar-2024,Mar,Q1,2024,North,Punjab,Clothing,Jeans,Spykar Super Skinny,3,2299,6897,0,0.0,6897.0,4321.63,2575.37,37.34,New,UPI,Delivered
ORD-1099,01-May-2024,May,Q2,2024,East,West Bengal,Clothing,Saree,Kanjivaram Silk Saree,2,7999,15998,10,1599.8,14398.2,9381.37,5016.83,34.84,Premium,Credit Card,Delivered
ORD-1100,19-Sep-2024,Sep,Q3,2024,North,Punjab,Sports,Football,Puma Spin Ball,1,999,999,20,199.8,799.2,509.97,289.23,36.19,Premium,UPI,Pending
ORD-1101,24-Jul-2024,Jul,Q3,2024,West,Rajasthan,Electronics,Earphones,OnePlus Bullets Z2,1,1999,1999,0,0.0,1999.0,1278.01,720.99,36.07,Regular,UPI,Delivered
ORD-1102,26-Oct-2024,Oct,Q4,2024,East,Odisha,Sports,Cycle,Hercules Roadeo,4,9999,39996,20,7999.2,31996.8,21000.32,10996.48,34.37,Regular,Debit Card,Returned
ORD-1103,29-Nov-2024,Nov,Q4,2024,South,Kerala,Home & Kitchen,Cooker,Butterfly Cordial 5L,3,2199,6597,15,989.55,5607.45,3610.77,1996.68,35.61,Premium,UPI,Delivered
ORD-1104,10-May-2024,May,Q2,2024,East,West Bengal,Home & Kitchen,Mixer,Prestige Iris 750W,1,3999,3999,0,0.0,3999.0,2583.0,1416.0,35.41,Premium,UPI,Delivered
ORD-1105,31-Jan-2024,Jan,Q1,2024,East,Bihar,Electronics,Earphones,JBL Tune 510BT,4,3499,13996,0,0.0,13996.0,9490.74,4505.26,32.19,Premium,UPI,Delivered
ORD-1106,18-Apr-2024,Apr,Q2,2024,South,Telangana,Home & Kitchen,Cooker,Hawkins Classic 3L,3,1499,4497,20,899.4,3597.6,2309.85,1287.75,35.79,Premium,Credit Card,Delivered
ORD-1107,14-Oct-2024,Oct,Q4,2024,North,UP,Books,Novel,To Kill a Mockingbird,3,399,1197,5,59.85,1137.15,767.91,369.24,32.47,Regular,UPI,Delivered
ORD-1108,02-Dec-2024,Dec,Q4,2024,West,Maharashtra,Clothing,T-Shirt,Puma Men T-Shirt,5,999,4995,5,249.75,4745.25,3049.16,1696.09,35.74,Regular,UPI,Delivered
ORD-1109,15-Jun-2024,Jun,Q2,2024,North,Delhi,Clothing,Jeans,Spykar Super Skinny,1,2299,2299,0,0.0,2299.0,1462.91,836.09,36.37,Premium,Credit Card,Delivered
ORD-1110,19-May-2024,May,Q2,2024,South,Telangana,Electronics,Tablet,OnePlus Pad,1,37999,37999,5,1899.95,36099.05,23850.39,12248.66,33.93,Regular,Credit Card,Delivered
ORD-1111,22-Apr-2024,Apr,Q2,2024,West,Rajasthan,Electronics,Mobile,Samsung Galaxy S24,3,74999,224997,5,11249.85,213747.15,142364.36,71382.79,33.4,Premium,UPI,Delivered
ORD-1112,11-Sep-2024,Sep,Q3,2024,West,Maharashtra,Clothing,Kurta,Soch Embroidered Kurta,2,3499,6998,20,1399.6,5598.4,3658.69,1939.71,34.65,Premium,UPI,Delivered
ORD-1113,22-Jan-2024,Jan,Q1,2024,West,Maharashtra,Home & Kitchen,Mixer,Bajaj GX1 500W,5,2499,12495,10,1249.5,11245.5,7359.1,3886.4,34.56,Premium,UPI,Delivered
ORD-1114,11-Jan-2024,Jan,Q1,2024,East,West Bengal,Sports,Dumbbells,Cockatoo Rubber Dumbbells 5kg,1,1299,1299,10,129.9,1169.1,784.08,385.02,32.93,Regular,Credit Card,Delivered
ORD-1115,21-Jul-2024,Jul,Q3,2024,East,Bihar,Books,Textbook,NCERT Science Class 10,2,199,398,0,0.0,398.0,258.95,139.05,34.94,Regular,Credit Card,Returned
ORD-1116,27-Jun-2024,Jun,Q2,2024,East,Bihar,Clothing,Jeans,Levis 511 Slim Fit,2,2999,5998,5,299.9,5698.1,3600.27,2097.83,36.82,Premium,Debit Card,Delivered
ORD-1117,31-Mar-2024,Mar,Q1,2024,West,Gujarat,Sports,Cycle,Leader Scout 26T,5,6499,32495,10,3249.5,29245.5,19648.73,9596.77,32.81,Premium,UPI,Delivered
ORD-1118,14-Aug-2024,Aug,Q3,2024,East,Odisha,Sports,Cricket Bat,SS Ton Reserve,5,5999,29995,0,0.0,29995.0,19155.54,10839.46,36.14,Regular,UPI,Delivered
ORD-1119,09-Feb-2024,Feb,Q1,2024,North,UP,Sports,Cycle,Leader Scout 26T,4,6499,25996,20,5199.2,20796.8,14084.71,6712.09,32.27,Premium,UPI,Returned
ORD-1120,19-Oct-2024,Oct,Q4,2024,South,Kerala,Sports,Dumbbells,Lifelong Chrome Dumbbells,2,1899,3798,0,0.0,3798.0,2457.43,1340.57,35.3,Premium,Net Banking,Pending
ORD-1121,13-Feb-2024,Feb,Q1,2024,South,Tamil Nadu,Clothing,Kurta,Anouk Cotton Kurta,5,999,4995,20,999.0,3996.0,2623.73,1372.27,34.34,Regular,COD,Delivered
ORD-1122,22-Jun-2024,Jun,Q2,2024,North,UP,Books,Novel,It Ends With Us,1,349,349,20,69.8,279.2,184.47,94.73,33.93,Regular,Debit Card,Delivered
ORD-1123,04-Nov-2024,Nov,Q4,2024,South,Kerala,Electronics,Smart Watch,Fire-Boltt Gladiator,3,2499,7497,5,374.85,7122.15,4829.26,2292.89,32.19,Premium,UPI,Delivered
ORD-1124,13-Feb-2024,Feb,Q1,2024,East,Bihar,Home & Kitchen,Bedsheet,Portico New York Bedsheet,5,1999,9995,0,0.0,9995.0,6584.32,3410.68,34.12,Regular,UPI,Delivered
ORD-1125,02-Apr-2024,Apr,Q2,2024,South,Kerala,Home & Kitchen,Cooker,Prestige Popular 5L,2,1899,3798,0,0.0,3798.0,2372.34,1425.66,37.54,Premium,UPI,Delivered
ORD-1126,26-Sep-2024,Sep,Q3,2024,North,UP,Books,Comic,Chacha Chaudhary,5,99,495,10,49.5,445.5,280.33,165.17,37.08,Regular,Credit Card,Delivered
ORD-1127,25-Mar-2024,Mar,Q1,2024,West,Maharashtra,Home & Kitchen,Bedsheet,Portico New York Bedsheet,4,1999,7996,5,399.8,7596.2,5052.56,2543.64,33.49,Premium,UPI,Delivered
ORD-1128,28-Aug-2024,Aug,Q3,2024,South,Kerala,Sports,Dumbbells,Bulfyss Hex Dumbbells 10kg,3,2199,6597,10,659.7,5937.3,3860.28,2077.02,34.98,Regular,UPI,Delivered
ORD-1129,05-Nov-2024,Nov,Q4,2024,South,Kerala,Electronics,Earphones,JBL Tune 510BT,5,3499,17495,0,0.0,17495.0,11593.66,5901.34,33.73,Regular,UPI,Delivered
ORD-1130,23-Mar-2024,Mar,Q1,2024,East,Odisha,Sports,Football,Cosco Milano,1,799,799,5,39.95,759.05,507.81,251.24,33.1,New,COD,Delivered
ORD-1131,21-Jul-2024,Jul,Q3,2024,East,West Bengal,Home & Kitchen,Mixer,Bajaj GX1 500W,2,2499,4998,0,0.0,4998.0,3194.33,1803.67,36.09,Regular,Debit Card,Delivered
ORD-1132,15-Mar-2024,Mar,Q1,2024,South,Tamil Nadu,Books,Biography,Steve Jobs by Walter Isaacson,4,699,2796,15,419.4,2376.6,1561.24,815.36,34.31,New,UPI,Delivered
ORD-1133,17-Mar-2024,Mar,Q1,2024,West,Maharashtra,Books,Textbook,NCERT Science Class 10,1,199,199,0,0.0,199.0,126.23,72.77,36.57,Premium,Credit Card,Delivered
ORD-1134,12-Sep-2024,Sep,Q3,2024,North,UP,Sports,Cycle,Firefox Target 21S,2,14999,29998,5,1499.9,28498.1,18402.77,10095.33,35.42,Premium,UPI,Delivered
